A Mishra,MA Starc,1,0,0,0,0,0,1,3,1
A Mishra,MG Johnson,1,0,0,0,0,0,1,2,0
A Mishra,MJ McClenaghan,0,0,0,0,0,0,0,1,0
A Mishra,MM Patel,4,0,0,7,0,0,32,17,1
A Mishra,MM Sharma,0,0,0,0,0,0,0,1,0
A Mishra,MR Marsh,4,0,0,1,0,0,8,8,1
A Mishra,NLTC Perera,0,0,0,0,0,0,0,1,0
A Mishra,P Awana,1,0,0,0,0,0,1,1,0
A Mishra,PC Valthaty,0,0,0,0,0,0,0,1,1
A Mishra,PP Chawla,3,0,0,0,0,0,3,4,0
A Mishra,PP Ojha,2,0,0,0,0,0,2,6,0
A Mishra,R Ashwin,5,0,0,0,0,0,5,12,1
A Mishra,R Bhatia,1,0,0,0,0,0,1,1,0
A Mishra,R Dhawan,1,0,0,0,0,0,1,1,0
A Mishra,R Sharma,5,0,0,0,0,0,5,6,0
A Mishra,R Vinay Kumar,1,0,0,0,0,0,1,2,0
A Mishra,RA Jadeja,1,0,0,0,0,0,1,1,0
A Mishra,RP Singh,2,0,0,0,0,0,2,3,0
A Mishra,SC Ganguly,8,1,0,1,0,0,14,15,0
A Mishra,SK Trivedi,4,3,0,1,0,0,14,17,1
A Mishra,SK Warne,2,0,0,0,0,0,2,4,0
A Mishra,SL Malinga,3,0,0,0,0,0,3,11,2
A Mishra,SP Narine,1,0,0,0,0,0,1,1,0
A Mishra,SR Watson,1,0,0,1,0,0,5,4,0
A Mishra,ST Jayasuriya,1,0,0,0,0,0,1,1,0
A Mishra,STR Binny,2,0,0,0,0,0,2,7,0
A Mishra,TG Southee,1,0,0,0,0,0,1,2,0
A Mishra,UT Yadav,2,0,0,1,0,0,6,5,0
A Mishra,WPUJC Vaas,0,0,0,0,0,0,0,1,0
A Mithun,A Mishra,0,0,0,0,0,0,0,1,1
A Mithun,DJ Bravo,0,0,0,0,0,0,0,2,1
A Mithun,DL Vettori,1,0,0,1,0,0,5,3,0
A Mithun,M Morkel,0,0,0,0,0,0,0,2,1
A Mithun,PC Valthaty,1,1,0,0,0,0,3,3,0
A Mithun,PP Chawla,1,0,0,0,0,0,1,1,0
A Mithun,R Ashwin,2,0,0,0,0,0,2,2,0
A Mithun,RJ Harris,2,0,0,1,0,1,12,6,1
A Mithun,SK Raina,1,0,0,2,0,0,9,4,0
A Mithun,SP Narine,0,1,0,0,0,0,2,2,1
A Mukund,A Chandila,3,1,0,0,0,0,5,4,0
A Mukund,JP Faulkner,3,0,0,0,0,0,3,7,0
A Mukund,S Sreesanth,1,0,0,0,0,0,1,1,0
A Mukund,SK Trivedi,1,0,0,0,0,0,1,3,1
A Mukund,Sohail Tanvir,0,0,0,0,0,0,0,1,1
A Mukund,SR Watson,3,1,0,1,0,0,9,7,0
