TM Head,3,54,128.571,42,18,1
TM Srivastava,3,8,72.7273,11,2.66667,1
TR Birt,5,75,127.119,59,15,5
U Kaul,1,0,0,1,0,0
UA Birla,1,7,46.6667,15,7,1
UBT Chand,20,300,95.5414,314,15,20
Umar Gul,4,39,205.263,19,9.75,2
UT Khawaja,6,127,120.952,105,21.1667,4
UT Yadav,19,84,102.439,82,4.42105,7
V Kohli,132,4164,127.301,3271,31.5455,103
V Pratap Singh,1,0,0,1,0,1
V Sehwag,104,2728,148.827,1833,26.2308,92
VH Zol,2,29,111.538,26,14.5,2
VR Aaron,7,42,93.3333,45,6,1
VRV Singh,2,4,133.333,3,2,1
VS Malik,2,7,100,7,3.5,1
VS Yeligati,1,2,100,2,2,0
VVS Laxman,20,282,104.059,271,14.1,15
VY Mahesh,5,15,53.5714,28,3,2
W Jaffer,8,130,100.775,129,16.25,7
WA Mota,8,56,73.6842,76,7,5
WD Parnell,12,63,78.75,80,5.25,6
WP Saha,67,1323,129.073,1025,19.7463,46
WPUJC Vaas,11,81,110.959,73,7.36364,6
X Thalaivan Sargunam,1,10,58.8235,17,10,1
Y Gnaneswara Rao,1,19,105.556,18,19,1
Y Nagar,20,285,105.166,271,14.25,13
Y Venugopal Rao,52,985,113.873,865,18.9423,33
YA Abdulla,1,0,0,1,0,0
Yashpal Singh,4,47,70.1493,67,11.75,4
YK Pathan,122,2761,141.662,1949,22.6311,80
Younis Khan,1,3,42.8571,7,3,1
YS Chahal,2,2,66.6667,3,1,0
Yuvraj Singh,106,2373,125.955,1884,22.3868,88
YV Takawale,10,192,104.918,183,19.2,8
Z Khan,24,113,88.2812,128,4.70833,11
